j1_angle,j2_angle,j3_angle,motor_temperature,torque_nm,current_amp,status,created_at
53.68,-2.54,19.34,43.39,8.44,1.85,OPERATIONAL,2026-05-23T16:23:26.928352
52.27,-4.33,17.93,43.33,7.54,1.6,OPERATIONAL,2026-05-23T16:23:28.928352
50.73,-6.12,16.46,43.24,8.44,1.72,OPERATIONAL,2026-05-23T16:23:30.928352
49.07,-7.9,14.92,43.18,8.94,1.89,OPERATIONAL,2026-05-23T16:23:32.928352
47.28,-9.66,13.34,43.12,5.88,1.29,OPERATIONAL,2026-05-23T16:23:34.928352
45.37,-11.41,11.7,43.0,6.37,1.43,OPERATIONAL,2026-05-23T16:23:36.928352
43.35,-13.15,10.02,42.92,8.37,1.72,OPERATIONAL,2026-05-23T16:23:38.928352
41.23,-14.86,8.31,42.84,7.1,1.48,OPERATIONAL,2026-05-23T16:23:40.928352
39.0,-16.54,6.57,42.73,7.15,1.51,OPERATIONAL,2026-05-23T16:23:42.928352
36.67,-18.2,4.8,42.63,7.1,1.53,OPERATIONAL,2026-05-23T16:23:44.928352
34.25,-19.83,3.02,90.84,11.46,2.18,WARNING,2026-05-23T16:23:46.928352
31.74,-21.43,1.22,42.55,9.13,2.04,OPERATIONAL,2026-05-23T16:23:48.928352
29.16,-23.0,-0.58,42.47,7.88,1.52,OPERATIONAL,2026-05-23T16:23:50.928352
26.5,-24.53,-2.38,42.38,7.34,1.51,OPERATIONAL,2026-05-23T16:23:52.928352
23.78,-26.02,-4.17,42.32,8.14,1.61,OPERATIONAL,2026-05-23T16:23:54.928352
21.0,-27.46,-5.94,42.42,10.85,2.35,OPERATIONAL,2026-05-23T16:23:56.928352
18.16,-28.87,-7.69,42.56,10.84,2.06,OPERATIONAL,2026-05-23T16:23:58.928352
15.28,-30.23,-9.42,42.64,12.23,2.35,OPERATIONAL,2026-05-23T16:24:00.928352
12.36,-31.53,-11.11,42.53,10.78,2.09,OPERATIONAL,2026-05-23T16:24:02.928352
9.41,-32.79,-12.76,42.53,9.59,11.66,FAILURE,2026-05-23T16:24:04.928352
6.44,-34.0,-14.36,42.67,12.22,2.53,OPERATIONAL,2026-05-23T16:24:06.928352
3.45,-35.15,-15.92,42.67,10.6,12.2,FAILURE,2026-05-23T16:24:08.928352
0.45,-36.25,-17.41,42.79,14.22,2.94,OPERATIONAL,2026-05-23T16:24:10.928352
-2.55,-37.28,-18.85,42.93,14.54,2.89,OPERATIONAL,2026-05-23T16:24:12.928352
-5.54,-38.26,-20.21,43.06,17.16,3.26,OPERATIONAL,2026-05-23T16:24:14.928352
-8.52,-39.18,-21.51,43.18,18.37,3.64,OPERATIONAL,2026-05-23T16:24:16.928352
-11.48,-40.03,-22.72,43.24,16.68,3.22,OPERATIONAL,2026-05-23T16:24:18.928352
-14.41,-40.82,-23.86,43.36,19.9,3.91,OPERATIONAL,2026-05-23T16:24:20.928352
-17.3,-41.55,-24.9,43.46,20.19,3.79,OPERATIONAL,2026-05-23T16:24:22.928352
-20.15,-42.2,-25.86,43.51,21.07,3.96,OPERATIONAL,2026-05-23T16:24:24.928352
-22.95,-42.8,-26.73,43.61,21.69,4.3,OPERATIONAL,2026-05-23T16:24:26.928352
-25.69,-43.32,-27.5,43.76,21.16,4.1,OPERATIONAL,2026-05-23T16:24:28.928352
-28.37,-43.77,-28.17,43.89,20.6,3.89,OPERATIONAL,2026-05-23T16:24:30.928352
-30.98,-44.15,-28.73,43.96,23.55,4.39,OPERATIONAL,2026-05-23T16:24:32.928352
-33.51,-44.47,-29.2,44.01,22.77,4.33,OPERATIONAL,2026-05-23T16:24:34.928352
-35.95,-44.71,-29.56,44.12,21.57,4.04,OPERATIONAL,2026-05-23T16:24:36.928352
-38.31,-44.88,-29.81,44.19,22.25,4.39,OPERATIONAL,2026-05-23T16:24:38.928352
-40.57,-44.97,-29.96,44.26,23.62,4.62,OPERATIONAL,2026-05-23T16:24:40.928352
-42.73,-45.0,-30.0,44.34,21.86,4.04,OPERATIONAL,2026-05-23T16:24:42.928352
-44.78,-44.95,-29.93,44.34,9.16,11.56,FAILURE,2026-05-23T16:24:44.928352
-46.72,-44.83,-29.75,44.47,23.83,4.65,OPERATIONAL,2026-05-23T16:24:46.928352
-48.54,-44.65,-29.47,44.55,22.02,4.07,OPERATIONAL,2026-05-23T16:24:48.928352
-50.24,-44.38,-29.08,44.62,22.85,4.25,OPERATIONAL,2026-05-23T16:24:50.928352
-51.82,-44.05,-28.58,44.73,23.23,4.38,OPERATIONAL,2026-05-23T16:24:52.928352
-5.327000000000001,-4.365,-2.799,51.82,44.27,8.64,FAILURE,2026-05-23T16:24:54.928352
-54.58,-43.18,-27.29,44.86,21.42,4.08,OPERATIONAL,2026-05-23T16:24:56.928352
-55.76,-42.63,-26.49,44.77,19.41,3.77,OPERATIONAL,2026-05-23T16:24:58.928352
-56.8,-42.02,-25.6,44.66,18.53,3.61,OPERATIONAL,2026-05-23T16:25:00.928352
-57.69,-41.35,-24.62,44.58,17.96,3.63,OPERATIONAL,2026-05-23T16:25:02.928352
-58.44,-40.6,-23.54,44.47,17.52,3.35,OPERATIONAL,2026-05-23T16:25:04.928352
-59.05,-39.8,-22.39,44.38,17.3,3.27,OPERATIONAL,2026-05-23T16:25:06.928352
-59.51,-38.92,-21.15,44.3,15.92,3.02,OPERATIONAL,2026-05-23T16:25:08.928352
-59.82,-37.99,-19.83,44.2,17.03,3.37,OPERATIONAL,2026-05-23T16:25:10.928352
-59.98,-37.0,-18.45,44.1,16.29,3.29,OPERATIONAL,2026-05-23T16:25:12.928352
-59.99,-35.94,-17.0,44.03,14.81,2.95,OPERATIONAL,2026-05-23T16:25:14.928352
-59.85,-34.83,-15.48,43.97,14.19,2.74,OPERATIONAL,2026-05-23T16:25:16.928352
-59.56,-33.66,-13.91,43.91,14.14,2.73,OPERATIONAL,2026-05-23T16:25:18.928352
-59.12,-32.44,-12.3,43.84,11.35,2.38,OPERATIONAL,2026-05-23T16:25:20.928352
-58.53,-31.17,-10.63,43.75,12.24,2.38,OPERATIONAL,2026-05-23T16:25:22.928352
-57.8,-29.85,-8.93,43.65,10.33,2.17,OPERATIONAL,2026-05-23T16:25:24.928352
-56.92,-28.47,-7.2,43.58,10.86,2.13,OPERATIONAL,2026-05-23T16:25:26.928352
-55.9,-27.06,-5.44,43.49,8.91,1.82,OPERATIONAL,2026-05-23T16:25:28.928352
-54.74,-25.6,-3.66,43.39,10.5,2.21,OPERATIONAL,2026-05-23T16:25:30.928352
-53.45,-24.1,-1.87,43.39,10.36,12.71,FAILURE,2026-05-23T16:25:32.928352
-52.02,-22.56,-0.07,43.33,8.6,1.74,OPERATIONAL,2026-05-23T16:25:34.928352
-50.46,-20.98,1.73,43.23,8.61,1.84,OPERATIONAL,2026-05-23T16:25:36.928352
-48.77,-19.38,3.52,43.16,8.35,1.76,OPERATIONAL,2026-05-23T16:25:38.928352
-46.97,-17.74,5.3,43.04,8.16,1.76,OPERATIONAL,2026-05-23T16:25:40.928352
-45.04,-16.07,7.06,42.94,6.18,1.3,OPERATIONAL,2026-05-23T16:25:42.928352
-43.0,-14.37,8.8,42.94,10.01,11.08,FAILURE,2026-05-23T16:25:44.928352
-40.86,-12.66,10.5,42.86,8.11,1.85,OPERATIONAL,2026-05-23T16:25:46.928352
-38.61,-10.92,12.17,42.76,7.26,1.65,OPERATIONAL,2026-05-23T16:25:48.928352
-36.27,-9.17,13.79,42.7,8.23,1.58,OPERATIONAL,2026-05-23T16:25:50.928352
-33.83,-7.4,15.36,42.59,8.65,1.91,OPERATIONAL,2026-05-23T16:25:52.928352
-31.32,-5.62,16.88,42.59,10.28,12.32,FAILURE,2026-05-23T16:25:54.928352
-28.72,-3.83,18.34,42.48,8.28,1.64,OPERATIONAL,2026-05-23T16:25:56.928352
-26.05,-2.03,19.73,42.4,9.66,1.85,OPERATIONAL,2026-05-23T16:25:58.928352
-23.32,-0.23,21.05,42.52,9.97,2.09,OPERATIONAL,2026-05-23T16:26:00.928352
-20.52,1.57,22.29,42.43,9.22,1.92,OPERATIONAL,2026-05-23T16:26:02.928352
-17.68,3.37,23.46,42.49,11.92,2.44,OPERATIONAL,2026-05-23T16:26:04.928352
-14.79,5.16,24.54,42.43,10.6,2.02,OPERATIONAL,2026-05-23T16:26:06.928352
-11.87,6.94,25.53,42.53,12.35,2.62,OPERATIONAL,2026-05-23T16:26:08.928352
-8.91,8.71,26.43,42.63,12.41,2.41,OPERATIONAL,2026-05-23T16:26:10.928352
-5.94,10.47,27.23,42.74,13.13,2.5,OPERATIONAL,2026-05-23T16:26:12.928352
-2.95,12.21,27.94,42.87,13.41,2.64,OPERATIONAL,2026-05-23T16:26:14.928352
0.05,13.94,28.54,42.93,14.32,2.86,OPERATIONAL,2026-05-23T16:26:16.928352
3.05,15.64,29.04,43.06,16.53,3.27,OPERATIONAL,2026-05-23T16:26:18.928352
6.04,17.31,29.44,43.12,16.09,3.07,OPERATIONAL,2026-05-23T16:26:20.928352
9.02,18.96,29.73,43.19,18.42,3.48,OPERATIONAL,2026-05-23T16:26:22.928352
11.97,20.58,29.92,43.24,17.78,3.35,OPERATIONAL,2026-05-23T16:26:24.928352
14.9,22.16,30.0,43.36,19.36,3.73,OPERATIONAL,2026-05-23T16:26:26.928352
17.78,23.71,29.97,43.45,20.87,3.89,OPERATIONAL,2026-05-23T16:26:28.928352
20.62,25.22,29.83,43.59,19.04,3.65,OPERATIONAL,2026-05-23T16:26:30.928352
23.41,26.69,29.58,43.73,21.94,4.14,OPERATIONAL,2026-05-23T16:26:32.928352
26.15,28.12,29.23,43.73,10.96,14.13,FAILURE,2026-05-23T16:26:34.928352
28.81,29.5,28.77,43.84,23.08,4.52,OPERATIONAL,2026-05-23T16:26:36.928352
31.41,30.83,28.21,43.93,22.76,4.29,OPERATIONAL,2026-05-23T16:26:38.928352
33.92,32.12,27.55,44.07,22.53,4.33,OPERATIONAL,2026-05-23T16:26:40.928352
36.35,33.35,26.79,44.2,22.57,4.16,OPERATIONAL,2026-05-23T16:26:42.928352
38.69,34.54,25.93,44.31,24.09,4.65,OPERATIONAL,2026-05-23T16:26:44.928352
40.94,35.66,24.98,44.36,23.3,4.31,OPERATIONAL,2026-05-23T16:26:46.928352
4.308,3.673,2.394,54.39,35.14,8.29,FAILURE,2026-05-23T16:26:48.928352
45.11,37.74,22.81,44.42,23.76,4.59,OPERATIONAL,2026-05-23T16:26:50.928352
47.03,38.69,21.6,44.52,21.81,4.27,OPERATIONAL,2026-05-23T16:26:52.928352
48.84,39.58,20.31,44.58,21.47,3.99,OPERATIONAL,2026-05-23T16:26:54.928352
50.52,40.4,18.95,44.58,10.64,12.7,FAILURE,2026-05-23T16:26:56.928352
52.07,41.16,17.53,44.66,23.32,4.35,OPERATIONAL,2026-05-23T16:26:58.928352
53.5,41.86,16.03,44.71,20.98,3.92,OPERATIONAL,2026-05-23T16:27:00.928352
54.79,42.48,14.49,44.85,22.1,4.22,OPERATIONAL,2026-05-23T16:27:02.928352
55.94,43.04,12.88,44.95,21.86,4.05,OPERATIONAL,2026-05-23T16:27:04.928352
56.96,43.53,11.24,44.86,20.95,4.08,OPERATIONAL,2026-05-23T16:27:06.928352
57.83,43.96,9.55,44.76,18.19,3.4,OPERATIONAL,2026-05-23T16:27:08.928352
58.56,44.31,7.83,44.67,18.44,3.58,OPERATIONAL,2026-05-23T16:27:10.928352
59.14,44.58,6.07,44.6,18.66,3.65,OPERATIONAL,2026-05-23T16:27:12.928352
59.57,44.79,4.3,44.52,17.27,3.38,OPERATIONAL,2026-05-23T16:27:14.928352
59.85,44.93,2.51,44.44,15.26,2.96,OPERATIONAL,2026-05-23T16:27:16.928352
59.99,44.99,0.72,44.37,15.89,3.17,OPERATIONAL,2026-05-23T16:27:18.928352
59.97,44.99,-1.08,44.26,15.16,3.11,OPERATIONAL,2026-05-23T16:27:20.928352
59.81,44.91,-2.88,44.2,14.19,2.68,OPERATIONAL,2026-05-23T16:27:22.928352
59.49,44.76,-4.66,44.14,14.08,2.86,OPERATIONAL,2026-05-23T16:27:24.928352
59.03,44.53,-6.43,44.02,11.63,2.43,OPERATIONAL,2026-05-23T16:27:26.928352
58.42,44.24,-8.18,43.91,12.85,2.52,OPERATIONAL,2026-05-23T16:27:28.928352
57.66,43.88,-9.89,43.83,10.41,2.05,OPERATIONAL,2026-05-23T16:27:30.928352
56.76,43.44,-11.57,43.73,11.09,2.12,OPERATIONAL,2026-05-23T16:27:32.928352
55.72,42.94,-13.21,43.66,10.52,2.26,OPERATIONAL,2026-05-23T16:27:34.928352
54.54,42.36,-14.81,43.55,7.99,1.83,OPERATIONAL,2026-05-23T16:27:36.928352
53.22,41.72,-16.34,43.49,8.27,1.73,OPERATIONAL,2026-05-23T16:27:38.928352
51.77,41.01,-17.82,43.38,7.08,1.63,OPERATIONAL,2026-05-23T16:27:40.928352
50.18,40.24,-19.24,43.31,6.67,1.48,OPERATIONAL,2026-05-23T16:27:42.928352
48.48,39.4,-20.58,43.26,7.41,1.59,OPERATIONAL,2026-05-23T16:27:44.928352
46.65,38.5,-21.85,43.19,6.46,1.4,OPERATIONAL,2026-05-23T16:27:46.928352
44.71,37.54,-23.05,43.12,5.81,1.35,OPERATIONAL,2026-05-23T16:27:48.928352
42.65,36.52,-24.16,43.05,5.61,1.35,OPERATIONAL,2026-05-23T16:27:50.928352
40.49,35.44,-25.18,42.97,8.16,1.75,OPERATIONAL,2026-05-23T16:27:52.928352
38.22,34.3,-26.11,42.88,6.37,1.49,OPERATIONAL,2026-05-23T16:27:54.928352
35.87,33.11,-26.95,42.77,8.15,1.74,OPERATIONAL,2026-05-23T16:27:56.928352
33.42,31.86,-27.69,42.68,8.92,1.79,OPERATIONAL,2026-05-23T16:27:58.928352
30.88,30.57,-28.34,42.58,7.92,1.6,OPERATIONAL,2026-05-23T16:28:00.928352
28.27,29.22,-28.88,42.52,7.62,1.65,OPERATIONAL,2026-05-23T16:28:02.928352
25.59,27.83,-29.31,42.41,7.57,1.65,OPERATIONAL,2026-05-23T16:28:04.928352
22.85,26.39,-29.64,42.55,9.83,2.06,OPERATIONAL,2026-05-23T16:28:06.928352
20.05,24.91,-29.87,42.45,8.81,1.73,OPERATIONAL,2026-05-23T16:28:08.928352
17.2,23.4,-29.98,42.59,10.91,2.15,OPERATIONAL,2026-05-23T16:28:10.928352
14.3,21.84,-29.99,42.69,11.96,2.31,OPERATIONAL,2026-05-23T16:28:12.928352
11.37,20.25,-29.89,42.6,11.03,2.14,OPERATIONAL,2026-05-23T16:28:14.928352
8.41,18.63,-29.68,42.68,13.45,2.74,OPERATIONAL,2026-05-23T16:28:16.928352
5.43,16.97,-29.37,42.75,13.31,2.53,OPERATIONAL,2026-05-23T16:28:18.928352
2.44,15.29,-28.95,42.87,13.64,2.63,OPERATIONAL,2026-05-23T16:28:20.928352
-0.56,13.59,-28.43,42.97,15.77,3.11,OPERATIONAL,2026-05-23T16:28:22.928352
-3.56,11.86,-27.8,43.07,16.06,3.17,OPERATIONAL,2026-05-23T16:28:24.928352
-6.54,10.12,-27.07,43.16,15.24,3.05,OPERATIONAL,2026-05-23T16:28:26.928352
-9.52,8.35,-26.25,81.29,12.55,2.54,WARNING,2026-05-23T16:28:28.928352
-12.47,6.58,-25.33,43.22,19.07,3.59,OPERATIONAL,2026-05-23T16:28:30.928352
-15.38,4.79,-24.32,43.35,17.79,3.45,OPERATIONAL,2026-05-23T16:28:32.928352
-18.26,3.0,-23.23,43.4,19.64,3.83,OPERATIONAL,2026-05-23T16:28:34.928352
-21.1,1.2,-22.05,43.49,20.29,3.93,OPERATIONAL,2026-05-23T16:28:36.928352
-23.88,-0.6,-20.79,43.6,22.17,4.09,OPERATIONAL,2026-05-23T16:28:38.928352
-26.6,-2.4,-19.45,43.7,21.36,3.96,OPERATIONAL,2026-05-23T16:28:40.928352
-29.25,-4.19,-18.05,43.83,23.12,4.39,OPERATIONAL,2026-05-23T16:28:42.928352
-31.84,-5.98,-16.58,43.97,22.18,4.24,OPERATIONAL,2026-05-23T16:28:44.928352
-34.34,-7.76,-15.05,44.04,22.91,4.3,OPERATIONAL,2026-05-23T16:28:46.928352
-3.6750000000000003,-0.952,-1.3470000000000002,52.62,47.68,9.7,FAILURE,2026-05-23T16:28:48.928352
-39.08,-11.28,-11.83,44.14,21.74,4.31,OPERATIONAL,2026-05-23T16:28:50.928352
-41.3,-13.01,-10.16,44.24,22.94,4.32,OPERATIONAL,2026-05-23T16:28:52.928352
-43.43,-14.72,-8.45,44.31,23.1,4.36,OPERATIONAL,2026-05-23T16:28:54.928352
-4.544,-1.641,-0.671,52.24,47.02,8.38,FAILURE,2026-05-23T16:28:56.928352
-47.34,-18.07,-4.94,44.46,21.6,4.01,OPERATIONAL,2026-05-23T16:28:58.928352
-49.13,-19.71,-3.16,44.6,22.32,4.21,OPERATIONAL,2026-05-23T16:29:00.928352
-50.79,-21.31,-1.36,44.72,20.84,3.92,OPERATIONAL,2026-05-23T16:29:02.928352
-52.32,-22.88,0.44,44.8,21.03,4.15,OPERATIONAL,2026-05-23T16:29:04.928352
-53.72,-24.41,2.23,44.85,21.97,4.16,OPERATIONAL,2026-05-23T16:29:06.928352
-54.99,-25.9,4.02,44.98,21.46,4.11,OPERATIONAL,2026-05-23T16:29:08.928352
-56.12,-27.35,5.8,44.89,21.21,4.1,OPERATIONAL,2026-05-23T16:29:10.928352
-57.11,-28.76,7.55,44.81,20.52,3.86,OPERATIONAL,2026-05-23T16:29:12.928352
-57.96,-30.12,9.28,44.69,18.23,3.65,OPERATIONAL,2026-05-23T16:29:14.928352
-58.66,-31.43,10.97,44.64,17.91,3.38,OPERATIONAL,2026-05-23T16:29:16.928352
-59.22,-32.69,12.63,44.54,18.05,3.49,OPERATIONAL,2026-05-23T16:29:18.928352
-59.63,-33.9,14.24,44.48,17.99,3.54,OPERATIONAL,2026-05-23T16:29:20.928352
-59.89,-35.06,15.8,44.38,15.24,3.06,OPERATIONAL,2026-05-23T16:29:22.928352
-60.0,-36.16,17.3,44.26,14.11,2.75,OPERATIONAL,2026-05-23T16:29:24.928352
-59.96,-37.2,18.74,44.21,13.47,2.66,OPERATIONAL,2026-05-23T16:29:26.928352
-59.77,-38.19,20.11,44.13,13.18,2.5,OPERATIONAL,2026-05-23T16:29:28.928352
-59.43,-39.11,21.41,44.03,12.11,2.3,OPERATIONAL,2026-05-23T16:29:30.928352
-58.94,-39.97,22.63,43.98,12.67,2.43,OPERATIONAL,2026-05-23T16:29:32.928352
-58.3,-40.76,23.77,43.9,11.36,2.37,OPERATIONAL,2026-05-23T16:29:34.928352
-57.52,-41.49,24.82,43.81,11.11,2.27,OPERATIONAL,2026-05-23T16:29:36.928352
-56.6,-42.15,25.79,43.73,10.96,2.36,OPERATIONAL,2026-05-23T16:29:38.928352
-55.53,-42.75,26.66,43.63,8.0,1.56,OPERATIONAL,2026-05-23T16:29:40.928352
-54.32,-43.28,27.44,43.55,7.83,1.62,OPERATIONAL,2026-05-23T16:29:42.928352
-52.98,-43.74,28.12,43.44,8.05,1.72,OPERATIONAL,2026-05-23T16:29:44.928352
-51.51,-44.13,28.69,43.35,6.76,1.57,OPERATIONAL,2026-05-23T16:29:46.928352
-49.91,-44.44,29.17,43.28,8.09,1.7,OPERATIONAL,2026-05-23T16:29:48.928352
-48.18,-44.69,29.54,43.21,5.9,1.17,OPERATIONAL,2026-05-23T16:29:50.928352
-46.33,-44.86,29.8,43.09,8.08,1.72,OPERATIONAL,2026-05-23T16:29:52.928352
-44.37,-44.97,29.95,43.0,7.84,1.54,OPERATIONAL,2026-05-23T16:29:54.928352
-42.29,-45.0,30.0,42.94,6.09,1.34,OPERATIONAL,2026-05-23T16:29:56.928352
-40.11,-44.96,29.94,42.82,5.77,1.35,OPERATIONAL,2026-05-23T16:29:58.928352
-37.83,-44.85,29.77,42.76,8.51,1.92,OPERATIONAL,2026-05-23T16:30:00.928352
-35.46,-44.66,29.5,42.7,8.4,1.72,OPERATIONAL,2026-05-23T16:30:02.928352
-33.0,-44.41,29.11,42.61,6.87,1.37,OPERATIONAL,2026-05-23T16:30:04.928352
-30.45,-44.08,28.63,42.52,7.92,1.54,OPERATIONAL,2026-05-23T16:30:06.928352
-27.83,-43.68,28.04,42.43,8.18,1.85,OPERATIONAL,2026-05-23T16:30:08.928352
-25.14,-43.22,27.35,42.37,8.4,1.84,OPERATIONAL,2026-05-23T16:30:10.928352
-22.38,-42.68,26.56,42.27,8.46,1.91,OPERATIONAL,2026-05-23T16:30:12.928352
-19.57,-42.08,25.67,42.39,10.76,2.34,OPERATIONAL,2026-05-23T16:30:14.928352
-16.71,-41.4,24.7,42.53,11.12,2.11,OPERATIONAL,2026-05-23T16:30:16.928352
-1.3810000000000002,-4.067,2.363,53.9,42.76,9.4,FAILURE,2026-05-23T16:30:18.928352
-10.88,-39.86,22.48,84.4,12.36,2.48,WARNING,2026-05-23T16:30:20.928352
-7.91,-39.0,21.25,42.61,13.1,2.67,OPERATIONAL,2026-05-23T16:30:22.928352
-4.93,-38.07,19.94,42.75,12.98,2.66,OPERATIONAL,2026-05-23T16:30:24.928352
-1.94,-37.08,18.56,42.81,13.81,2.87,OPERATIONAL,2026-05-23T16:30:26.928352
1.06,-36.03,17.11,42.92,14.59,2.77,OPERATIONAL,2026-05-23T16:30:28.928352
4.06,-34.92,15.61,42.99,14.98,3.09,OPERATIONAL,2026-05-23T16:30:30.928352
7.05,-33.76,14.04,43.09,17.61,3.38,OPERATIONAL,2026-05-23T16:30:32.928352
10.02,-32.54,12.43,43.23,17.64,3.36,OPERATIONAL,2026-05-23T16:30:34.928352
12.96,-31.27,10.77,43.32,19.87,3.97,OPERATIONAL,2026-05-23T16:30:36.928352
1.587,-2.995,0.907,49.97,39.79,8.88,FAILURE,2026-05-23T16:30:38.928352
18.74,-28.59,7.34,43.42,19.49,3.82,OPERATIONAL,2026-05-23T16:30:40.928352
21.57,-27.17,5.58,43.47,19.17,3.72,OPERATIONAL,2026-05-23T16:30:42.928352
24.34,-25.72,3.8,43.58,20.19,3.84,OPERATIONAL,2026-05-23T16:30:44.928352
27.05,-24.22,2.01,43.66,22.91,4.44,OPERATIONAL,2026-05-23T16:30:46.928352
29.69,-22.68,0.21,43.78,21.71,4.2,OPERATIONAL,2026-05-23T16:30:48.928352
32.26,-21.11,-1.59,43.85,22.48,4.21,OPERATIONAL,2026-05-23T16:30:50.928352
34.75,-19.51,-3.38,43.92,23.83,4.62,OPERATIONAL,2026-05-23T16:30:52.928352
37.15,-17.87,-5.16,44.0,23.72,4.63,OPERATIONAL,2026-05-23T16:30:54.928352
39.46,-16.2,-6.92,44.06,23.51,4.47,OPERATIONAL,2026-05-23T16:30:56.928352
41.67,-14.51,-8.66,44.2,23.32,4.44,OPERATIONAL,2026-05-23T16:30:58.928352
43.77,-12.8,-10.37,44.34,23.07,4.37,OPERATIONAL,2026-05-23T16:31:00.928352
45.77,-11.06,-12.04,44.49,22.51,4.43,OPERATIONAL,2026-05-23T16:31:02.928352
47.65,-9.31,-13.66,44.61,21.99,4.25,OPERATIONAL,2026-05-23T16:31:04.928352
49.42,-7.54,-15.24,44.68,22.45,4.36,OPERATIONAL,2026-05-23T16:31:06.928352
51.05,-5.76,-16.76,44.82,21.84,4.13,OPERATIONAL,2026-05-23T16:31:08.928352
52.57,-3.97,-18.23,44.94,22.5,4.37,OPERATIONAL,2026-05-23T16:31:10.928352
53.95,-2.17,-19.62,44.83,21.02,4.06,OPERATIONAL,2026-05-23T16:31:12.928352
55.19,-0.37,-20.95,44.97,21.09,4.18,OPERATIONAL,2026-05-23T16:31:14.928352
56.3,1.43,-22.2,44.91,19.62,3.9,OPERATIONAL,2026-05-23T16:31:16.928352
57.27,3.22,-23.37,44.84,18.4,3.63,OPERATIONAL,2026-05-23T16:31:18.928352
58.09,5.02,-24.45,44.77,19.44,3.66,OPERATIONAL,2026-05-23T16:31:20.928352
58.77,6.8,-25.45,44.69,18.79,3.63,OPERATIONAL,2026-05-23T16:31:22.928352
59.3,8.57,-26.36,44.58,17.81,3.49,OPERATIONAL,2026-05-23T16:31:24.928352
59.68,10.33,-27.17,44.53,15.77,3.15,OPERATIONAL,2026-05-23T16:31:26.928352
59.92,12.08,-27.88,44.44,16.86,3.27,OPERATIONAL,2026-05-23T16:31:28.928352
60.0,13.8,-28.5,44.38,15.83,3.24,OPERATIONAL,2026-05-23T16:31:30.928352
59.93,15.5,-29.01,44.26,15.28,2.9,OPERATIONAL,2026-05-23T16:31:32.928352
59.72,17.18,-29.41,44.19,13.79,2.72,OPERATIONAL,2026-05-23T16:31:34.928352
59.35,18.83,-29.72,44.09,11.32,2.35,OPERATIONAL,2026-05-23T16:31:36.928352
58.84,20.45,-29.91,43.97,11.94,2.3,OPERATIONAL,2026-05-23T16:31:38.928352
58.18,22.03,-30.0,43.86,11.11,2.34,OPERATIONAL,2026-05-23T16:31:40.928352
57.37,23.59,-29.97,43.74,10.98,2.21,OPERATIONAL,2026-05-23T16:31:42.928352
56.43,25.1,-29.84,80.44,11.96,2.4,WARNING,2026-05-23T16:31:44.928352
55.34,26.57,-29.61,43.69,9.09,1.93,OPERATIONAL,2026-05-23T16:31:46.928352
54.11,28.0,-29.26,43.6,8.03,1.66,OPERATIONAL,2026-05-23T16:31:48.928352
52.74,29.39,-28.81,43.49,8.25,1.71,OPERATIONAL,2026-05-23T16:31:50.928352
51.25,30.73,-28.26,43.39,8.0,1.71,OPERATIONAL,2026-05-23T16:31:52.928352
49.62,32.02,-27.61,43.29,7.87,1.74,OPERATIONAL,2026-05-23T16:31:54.928352
47.88,33.26,-26.85,43.2,8.0,1.65,OPERATIONAL,2026-05-23T16:31:56.928352
46.01,34.44,-26.0,43.14,7.43,1.48,OPERATIONAL,2026-05-23T16:31:58.928352
44.03,35.57,-25.06,43.09,8.28,1.86,OPERATIONAL,2026-05-23T16:32:00.928352
41.94,36.65,-24.02,43.0,6.87,1.57,OPERATIONAL,2026-05-23T16:32:02.928352
39.74,37.66,-22.9,42.9,7.58,1.62,OPERATIONAL,2026-05-23T16:32:04.928352
37.44,38.62,-21.7,42.79,6.75,1.45,OPERATIONAL,2026-05-23T16:32:06.928352
35.05,39.51,-20.42,42.7,7.23,1.69,OPERATIONAL,2026-05-23T16:32:08.928352
32.57,40.34,-19.07,42.64,8.1,1.7,OPERATIONAL,2026-05-23T16:32:10.928352
30.02,41.11,-17.64,42.57,7.53,1.56,OPERATIONAL,2026-05-23T16:32:12.928352
27.38,41.8,-16.16,42.45,8.96,1.79,OPERATIONAL,2026-05-23T16:32:14.928352
24.68,42.44,-14.61,42.45,9.65,12.79,FAILURE,2026-05-23T16:32:16.928352
21.91,43.0,-13.01,42.45,9.72,14.48,FAILURE,2026-05-23T16:32:18.928352
19.1,43.5,-11.37,42.36,9.15,2.0,OPERATIONAL,2026-05-23T16:32:20.928352
16.23,43.92,-9.68,42.48,10.58,2.3,OPERATIONAL,2026-05-23T16:32:22.928352
13.32,44.28,-7.96,42.57,12.76,2.45,OPERATIONAL,2026-05-23T16:32:24.928352
10.38,44.57,-6.21,42.49,10.93,2.1,OPERATIONAL,2026-05-23T16:32:26.928352
7.41,44.78,-4.44,42.54,12.96,2.48,OPERATIONAL,2026-05-23T16:32:28.928352
4.43,44.92,-2.66,42.69,12.34,2.5,OPERATIONAL,2026-05-23T16:32:30.928352
1.43,44.99,-0.86,42.8,15.21,2.99,OPERATIONAL,2026-05-23T16:32:32.928352
-1.57,44.99,0.94,42.87,14.16,2.74,OPERATIONAL,2026-05-23T16:32:34.928352
-4.56,44.92,2.74,42.97,14.97,2.97,OPERATIONAL,2026-05-23T16:32:36.928352
